gender	traveltime	studytime	failures	activities	freetime	goout	health	absences	quiz1	quiz2	grade
M	1	2	1	no	5	5	5	0	10	10	F
M	2	1	2	no	4	5	5	0	9	8	D
M	2	1	1	yes	3	2	5	8	8	8	F
M	2	2	2	no	4	4	3	4	7	6	F
M	2	1	0	yes	4	4	5	2	8	9	D
M	1	1	1	no	3	3	2	2	9	8	F
M	4	2	0	yes	3	5	5	0	8	8	F
M	2	1	3	yes	5	2	2	10	8	7	F
M	1	2	0	no	3	5	4	0	9	10	D
F	1	2	0	no	2	3	3	0	17	17	A
F	1	2	0	no	1	5	4	0	12	12	C
F	1	2	0	no	4	2	3	0	16	16	A
M	3	1	1	yes	4	5	2	4	9	9	D
M	2	2	0	yes	3	2	3	0	16	17	A
M	1	2	0	yes	4	4	5	0	11	9	D
F	1	2	0	yes	3	5	3	0	14	13	C
F	2	2	0	yes	4	5	4	0	14	14	B
M	2	2	0	yes	4	4	4	0	10	11	D
F	2	2	0	yes	4	4	5	0	13	12	C
M	1	2	0	yes	3	4	4	4	11	9	D
M	1	1	0	yes	3	3	3	8	10	9	D
M	1	2	0	yes	2	3	2	4	11	11	C
M	1	2	0	yes	4	3	3	4	11	10	D
M	1	2	0	yes	2	3	3	0	11	12	C
F	1	2	0	yes	4	2	5	0	17	18	A
F	1	2	0	yes	3	3	1	32	14	13	C
F	1	2	0	no	2	2	1	8	14	15	B
M	1	2	0	yes	3	4	4	6	11	13	C
M	1	1	0	yes	3	3	3	0	10	9	D
M	1	2	0	yes	2	3	5	0	13	14	B
F	1	2	0	no	3	3	3	10	12	13	C
M	1	2	0	no	1	3	3	6	9	9	D
F	1	2	0	no	3	3	2	6	12	12	C
F	1	2	0	yes	3	3	3	0	12	11	D
M	2	2	0	yes	4	4	5	16	10	11	D
M	1	1	0	yes	3	2	5	0	11	10	D
M	2	1	0	no	3	3	3	0	13	12	D
F	1	2	0	yes	3	2	5	8	14	15	B
M	1	1	0	no	2	3	5	4	13	13	C
M	3	1	0	yes	3	4	3	16	10	11	D
F	2	1	1	no	2	4	2	30	14	15	B
F	1	2	0	no	5	2	3	0	11	10	D
F	1	2	0	yes	3	5	2	2	14	14	B
F	1	2	0	yes	4	3	4	4	11	12	D
F	1	2	0	no	4	4	1	0	14	15	B
F	1	1	0	no	3	2	3	21	13	13	C
F	2	4	0	yes	3	5	5	6	13	13	C
F	1	3	1	no	4	3	5	14	8	9	F
F	1	2	0	no	3	3	4	2	11	11	D
F	1	2	0	yes	3	2	1	4	14	15	B
F	2	1	0	no	3	2	5	2	12	13	C
F	2	3	0	yes	4	2	4	0	11	12	D
F	1	4	0	yes	3	3	3	4	12	12	D
M	1	2	0	no	3	5	3	15	13	12	D
F	1	2	0	no	3	4	4	0	13	13	C
M	1	2	0	yes	4	4	5	10	12	11	D
F	1	1	0	no	2	1	3	6	12	11	D
F	2	2	0	no	4	4	1	2	14	16	B
F	1	2	0	no	4	5	1	16	11	9	D
M	1	2	0	no	2	4	4	10	10	10	D
F	2	1	0	no	3	3	3	4	12	13	C
F	1	3	0	yes	3	3	4	0	12	12	C
F	2	2	0	yes	2	5	5	0	11	10	D
F	1	3	0	yes	3	4	5	12	12	12	D
F	1	2	0	no	3	1	3	0	13	13	C
M	2	2	3	no	3	3	4	9	10	9	D
F	1	3	0	yes	3	2	5	4	15	16	B
F	1	2	0	yes	3	3	4	4	8	8	F
F	1	2	0	yes	3	4	3	2	17	18	A
M	1	2	0	no	3	3	3	0	10	11	D
M	4	2	0	yes	3	2	3	2	9	10	D
F	2	3	0	yes	2	3	3	0	15	15	B
F	1	2	0	yes	2	3	3	0	14	12	D
M	2	2	0	yes	5	2	1	0	12	13	C
M	1	2	0	yes	5	5	2	0	13	13	C
M	1	2	0	yes	2	4	1	0	13	13	C
M	2	2	0	no	4	2	5	2	9	9	F
M	2	3	0	yes	3	3	2	0	12	12	D
M	1	2	0	yes	4	2	4	0	16	16	B
F	1	1	0	no	5	2	5	4	9	10	D
F	1	2	0	yes	3	3	5	0	14	13	C
F	2	2	1	no	3	3	3	18	10	10	D
F	1	2	1	no	3	1	5	16	9	8	D
F	2	1	1	no	1	1	3	14	8	7	F
M	1	1	1	yes	4	3	1	26	7	8	F
M	1	1	0	yes	2	1	5	6	10	8	F
F	1	2	0	yes	4	2	3	4	14	14	B
F	1	3	0	yes	3	2	4	10	11	10	D
F	1	1	0	no	3	5	5	4	12	11	D
F	3	2	0	yes	1	1	3	2	13	13	C
F	4	1	1	no	5	4	5	14	9	9	F
M	1	2	0	no	5	4	2	16	8	7	F
F	1	1	1	no	1	2	1	8	11	9	D
F	2	3	0	yes	3	3	5	4	15	14	B
F	1	2	0	yes	3	2	4	4	15	14	C
M	2	2	0	yes	5	5	5	8	15	15	B
M	2	2	0	no	3	3	4	0	12	12	D
M	1	1	0	yes	4	5	3	7	14	14	B
M	1	1	0	yes	3	2	5	4	14	15	B
F	1	2	0	no	3	1	5	2	11	11	D
M	2	3	0	no	3	3	1	2	13	14	B
F	2	3	0	no	2	2	5	10	11	11	D
F	1	2	0	no	3	2	4	10	10	9	D
F	2	3	0	no	4	4	3	10	12	10	D
M	3	1	0	no	3	3	4	7	15	16	B
F	1	2	0	no	3	4	5	4	11	10	D
M	2	1	0	no	2	2	2	2	9	12	C
M	1	1	3	no	4	5	1	12	7	8	F
M	1	2	0	no	3	3	5	8	10	9	D
M	1	1	0	no	3	2	5	0	11	12	D
M	2	1	0	no	4	5	5	8	7	8	F
M	3	2	1	no	3	3	2	4	9	11	D
M	1	1	2	no	2	5	5	4	7	8	F
M	2	1	0	yes	3	2	3	2	14	13	D
M	1	1	0	no	4	2	5	0	12	12	C
M	2	1	1	yes	4	4	5	0	9	10	D
F	1	2	0	no	3	4	5	2	12	12	C
F	1	4	0	yes	2	3	4	2	14	15	A
F	1	2	0	no	3	3	5	0	10	10	D
M	3	2	1	yes	4	5	5	4	11	10	D
F	1	3	0	yes	3	4	5	2	11	12	C
F	1	3	0	no	4	3	3	4	11	12	C
F	1	2	0	no	2	3	5	4	11	11	C
M	1	2	0	no	3	1	1	4	11	13	C
M	1	2	0	yes	2	4	4	2	16	16	B
M	2	1	0	no	2	2	4	0	9	10	D
F	1	4	0	yes	4	1	2	2	10	11	D
F	2	2	0	yes	2	3	2	8	10	12	D
F	1	2	0	no	1	2	2	2	15	15	B
M	1	2	0	no	3	2	3	2	10	10	D
M	1	3	0	yes	3	2	3	2	10	11	D
F	1	3	0	yes	2	3	4	2	15	12	C
F	1	3	0	yes	3	3	3	0	11	12	C
M	2	1	0	no	4	4	4	8	8	8	F
M	2	2	0	yes	2	5	1	6	15	16	B
M	1	2	0	yes	4	4	5	0	11	11	C
F	2	2	0	yes	3	4	4	8	10	11	D
M	1	2	0	yes	4	5	5	4	10	12	C
F	2	2	0	no	3	5	3	12	8	9	D
F	1	2	0	yes	3	5	5	16	11	12	D
F	1	4	0	yes	5	5	2	10	16	16	B
F	2	2	0	no	4	3	3	2	13	13	C
M	1	2	0	yes	5	2	1	2	16	17	A
F	1	2	0	no	2	5	1	8	14	14	B
F	2	2	0	no	3	3	1	6	15	16	B
F	2	2	0	no	4	4	5	6	12	12	D
F	2	2	0	no	1	1	5	15	12	9	D
M	2	1	0	yes	2	4	3	6	11	12	D
F	1	2	1	yes	4	4	4	2	14	12	C
F	3	3	0	no	2	3	1	8	13	15	B
F	1	2	1	no	3	3	3	0	9	8	D
M	2	1	0	yes	2	3	1	0	10	10	D
M	2	1	0	no	4	4	4	10	10	10	D
M	2	1	0	yes	5	4	5	22	11	11	D
M	1	1	0	no	4	4	3	18	13	13	C
F	2	4	0	yes	2	2	3	2	17	17	A
F	2	2	0	yes	4	4	4	0	12	13	C
F	1	2	0	no	4	5	5	12	12	12	C
F	2	2	0	yes	3	1	5	10	12	13	C
M	1	2	0	no	3	3	4	0	12	12	D
F	1	3	0	no	3	3	2	0	18	18	A
F	1	3	0	no	3	3	3	0	13	13	C
M	1	3	0	yes	2	4	2	0	14	15	B
M	1	2	0	yes	4	3	2	0	17	17	A
M	1	2	0	yes	3	2	5	2	15	16	B
F	1	3	0	no	2	2	3	0	17	18	A
F	2	4	0	no	1	2	3	0	18	19	A
M	2	3	0	yes	4	2	4	0	14	15	B
M	1	1	0	no	4	3	5	0	14	15	B
F	2	2	0	yes	3	4	2	2	14	13	C
F	2	2	0	no	4	5	2	0	13	14	C
F	1	4	0	no	3	3	3	0	16	17	A
M	1	1	0	no	4	2	1	0	18	18	A
F	1	2	0	no	2	4	4	0	14	15	B
M	2	1	0	no	1	1	5	0	12	13	C
F	2	3	0	yes	3	4	5	0	7	7	F
F	2	3	0	no	3	3	3	0	16	16	B
F	1	4	0	yes	2	2	5	0	18	18	A
M	2	3	1	yes	3	1	5	0	9	10	D
M	1	1	2	yes	5	3	5	0	14	15	B
M	1	2	0	yes	5	3	5	0	10	10	D
F	1	2	0	no	4	4	5	2	10	10	D
F	2	2	0	yes	3	3	1	2	12	12	B
F	2	2	0	yes	2	1	3	2	11	12	C
F	1	1	0	yes	4	4	5	2	15	16	A
F	1	3	0	yes	3	4	5	2	14	15	A
F	2	1	0	no	2	4	1	8	12	12	B
F	1	3	0	yes	3	4	5	2	15	15	A
F	1	2	0	no	1	4	3	8	11	12	C
M	2	2	0	yes	4	4	1	9	11	10	D
F	1	2	0	no	4	4	5	0	12	11	C
F	1	1	0	yes	4	4	1	4	11	12	C
F	1	1	0	yes	3	4	5	2	14	15	A
F	1	2	0	no	2	2	5	14	15	14	A
F	1	2	0	no	3	3	5	0	12	12	C
F	1	2	0	yes	2	3	2	2	11	12	C
M	1	1	0	no	2	5	5	2	8	9	D
F	3	3	0	yes	5	5	5	12	10	10	D
F	3	2	2	no	3	4	4	2	8	8	F
F	1	1	0	yes	3	5	5	2	10	10	D
F	1	2	0	no	2	2	3	4	14	13	C
F	1	3	0	yes	3	2	3	0	11	11	D
F	1	3	0	no	4	3	5	0	17	18	A
F	2	3	0	no	3	3	2	0	14	14	B
F	2	3	0	yes	5	5	2	0	14	14	C
M	1	3	0	yes	3	3	3	0	13	14	C
M	1	1	0	yes	3	5	5	0	17	18	A
M	4	1	0	no	4	5	4	2	11	10	D
F	1	3	0	yes	4	4	4	0	13	12	C
F	2	3	0	no	3	3	4	4	15	14	B
F	1	1	0	yes	2	5	5	2	11	12	D
M	1	4	0	yes	5	5	5	0	11	11	D
M	1	1	0	no	3	4	5	0	11	10	D
F	4	2	0	yes	2	5	2	2	10	9	D
F	1	3	0	no	4	3	5	0	15	15	B
M	1	1	0	no	4	2	5	6	15	14	B
F	1	2	0	yes	3	4	4	8	10	11	D
F	1	2	0	yes	3	3	2	0	10	9	D
F	2	4	0	yes	4	4	4	6	14	13	C
F	1	3	0	no	4	5	5	8	11	13	C
F	1	2	0	no	3	2	2	0	12	13	B
F	1	4	0	no	3	3	1	4	14	14	B
F	1	2	0	no	3	3	2	0	14	14	B
M	1	2	0	yes	3	3	2	0	12	12	C
M	1	2	0	yes	3	3	5	6	16	16	A
F	1	2	0	no	3	1	4	18	10	12	C
F	1	3	0	no	3	3	3	0	11	12	C
F	1	3	0	no	4	3	1	4	14	16	A
M	1	3	0	no	3	2	4	4	15	14	A
M	1	3	0	no	4	5	5	0	14	13	C
F	1	3	0	yes	4	3	4	0	11	12	C
F	2	2	0	yes	3	4	1	10	12	15	B
F	1	2	0	yes	3	5	4	4	12	16	B
F	2	1	1	no	2	3	5	16	10	11	D
F	1	1	1	no	1	2	3	6	10	13	C
F	1	3	2	yes	3	2	5	0	9	12	D
M	1	2	0	yes	4	4	3	11	9	11	D
M	1	2	0	yes	3	5	2	9	13	14	B
F	1	2	0	yes	3	4	4	0	13	17	A
M	1	3	0	no	4	2	4	2	12	15	B
F	1	2	0	yes	2	2	3	0	14	17	A
M	2	2	2	yes	3	3	4	21	9	10	D
F	2	3	0	no	2	2	3	8	11	15	B
F	1	1	1	no	2	5	5	5	9	10	D
M	1	2	0	no	4	4	5	10	16	18	A
F	1	3	0	no	3	4	2	5	14	17	A
M	1	1	0	no	1	3	4	13	13	14	C
M	1	1	0	no	3	4	4	10	7	11	D
F	2	2	0	no	1	4	4	10	14	17	A
F	2	1	1	no	3	1	5	5	8	10	D
F	1	2	0	yes	1	2	1	4	10	13	C
F	2	1	0	no	3	3	5	11	10	11	D
F	2	2	0	yes	4	4	5	0	12	12	D
F	1	1	1	no	1	3	2	6	10	10	D
F	2	1	0	no	4	4	5	4	10	10	D
F	2	2	0	no	5	2	5	0	16	17	A
F	2	1	0	no	3	4	1	0	6	8	F
M	1	2	0	no	3	2	2	5	10	11	D
M	1	3	0	no	4	3	5	0	10	11	D
F	1	2	1	no	5	4	5	0	10	10	D
F	1	1	1	no	4	4	5	0	6	6	F
F	2	1	0	no	5	1	5	0	13	14	C
F	2	4	0	yes	2	1	1	4	10	9	D
F	2	2	0	no	4	3	4	0	10	10	D
F	2	1	1	no	4	3	2	4	6	7	F
F	2	1	0	yes	2	3	2	0	12	11	D
F	2	1	0	no	5	5	3	2	10	11	D
F	2	1	0	no	1	3	4	0	14	16	B
M	2	2	0	yes	4	5	3	0	7	0	F
M	1	2	0	no	4	3	5	4	8	9	F
M	1	2	0	yes	3	4	2	0	12	13	C
M	1	2	0	yes	3	4	2	7	7	9	F
M	3	2	0	no	4	5	5	4	9	10	D
M	4	2	0	yes	4	5	4	8	7	9	F
M	1	2	0	yes	3	3	5	0	11	11	D
M	3	1	0	yes	5	5	3	8	8	10	F
F	2	3	0	yes	2	2	4	6	16	16	A
F	2	1	0	no	1	2	1	3	11	13	C
F	3	2	0	no	5	4	1	2	15	15	B
M	2	2	0	no	3	3	5	0	10	11	D
F	3	2	0	no	4	5	4	4	9	10	D
F	1	3	1	no	3	2	4	0	10	8	F
F	1	3	1	no	3	2	4	3	9	8	F
F	1	2	0	no	4	2	2	0	9	10	F
F	1	2	0	no	4	3	2	0	13	14	B
M	1	1	0	yes	5	5	3	4	10	11	D
F	4	4	0	no	3	2	1	0	13	10	C
F	4	3	0	no	4	3	5	2	10	9	D
F	2	2	0	yes	3	3	2	1	11	10	D
F	2	1	0	yes	2	2	2	0	13	12	C
F	3	2	0	no	2	1	2	0	13	14	C
F	1	3	0	no	4	3	5	2	14	11	D
M	2	1	0	yes	4	4	5	6	11	11	D
F	1	2	1	yes	4	4	5	9	9	8	F
M	2	1	0	no	2	3	4	0	10	9	D
F	3	2	0	yes	3	4	2	1	14	13	C
M	3	1	0	no	3	3	4	1	13	12	C
M	1	2	0	yes	3	1	3	0	13	12	C
F	1	2	0	no	5	4	1	4	13	12	D
F	2	2	1	yes	4	4	5	2	12	11	D
F	3	1	0	yes	3	2	4	0	14	14	B
M	2	1	0	yes	4	3	4	4	10	8	D
M	3	1	0	yes	2	4	3	2	10	11	D
F	2	3	0	yes	3	2	4	0	12	13	C
F	1	1	0	no	4	3	5	2	10	8	F
M	2	1	0	yes	3	3	3	11	12	10	D
F	2	2	3	no	4	3	1	0	7	7	F
F	1	1	0	yes	5	3	5	4	9	9	D
F	1	1	1	no	4	4	2	0	9	9	D
F	3	1	0	yes	5	3	3	2	9	10	D
F	2	1	0	no	2	1	4	0	9	10	F
F	3	2	0	no	4	5	1	1	9	10	D
F	1	1	0	no	3	4	1	6	7	7	F
F	2	2	0	no	3	5	4	0	11	10	D
F	1	1	1	yes	4	3	3	1	9	10	D
F	2	3	2	no	3	2	2	6	7	9	D
F	1	3	1	yes	3	1	3	6	7	9	F
M	2	1	1	yes	4	3	4	0	8	9	D
F	2	1	1	no	2	3	2	4	9	11	D
F	2	2	1	no	1	4	1	12	7	8	F
F	1	2	0	no	3	2	3	2	8	10	D
F	2	1	0	yes	4	4	5	5	9	9	D
F	1	2	0	yes	4	5	3	0	8	9	F
F	1	1	0	yes	5	4	4	0	14	13	C
F	1	1	0	yes	4	4	4	2	14	14	C
M	2	4	1	yes	4	5	5	0	10	11	D
F	1	2	0	yes	3	3	1	0	14	13	C
F	1	1	0	yes	2	5	5	0	17	16	B
M	1	1	1	yes	3	5	1	12	6	7	F
M	1	1	0	yes	2	5	5	8	14	12	C
M	3	4	1	no	3	5	3	2	10	8	F
F	1	4	0	yes	2	1	5	0	14	14	C
F	1	3	0	no	4	5	1	0	12	13	C
F	2	1	0	yes	4	5	5	0	11	11	D
F	2	2	1	yes	3	4	3	8	11	9	D
F	1	3	0	no	3	3	3	0	11	11	D
M	3	1	1	no	4	5	5	0	10	9	F
F	3	2	0	no	3	2	1	0	16	17	A
F	2	2	0	yes	3	2	1	0	15	17	A
F	2	2	0	no	4	5	4	1	11	9	D
F	1	2	1	no	3	2	5	9	7	7	F
F	1	1	0	yes	1	3	1	0	8	6	F
F	1	1	0	no	1	3	3	2	7	6	F
F	2	2	0	no	3	5	3	8	9	8	D
F	1	2	0	yes	3	3	2	0	14	16	B
F	2	1	0	yes	4	5	2	0	14	14	B
F	1	2	1	no	3	2	1	8	8	5	F
M	2	2	0	yes	2	1	2	0	8	7	F
F	3	2	0	no	3	2	5	6	6	8	F
F	2	2	0	yes	3	3	2	0	8	10	D
F	1	2	0	no	3	4	3	4	8	8	F
M	1	4	0	yes	5	5	5	2	5	6	F
F	3	2	0	no	2	1	2	2	7	9	F
M	1	3	0	no	4	3	5	0	15	14	B
F	1	1	0	no	2	3	5	1	13	14	C
M	4	3	0	no	1	3	3	0	10	9	D
F	1	1	0	no	1	3	5	5	9	9	F
F	2	1	0	no	1	3	5	1	11	11	D
M	1	1	0	yes	1	4	3	8	7	10	F
M	3	2	0	no	1	3	1	0	10	10	D
M	2	2	0	no	2	2	5	2	9	7	F
F	1	2	0	no	2	2	3	0	14	15	B
M	1	1	0	no	1	2	5	0	11	12	D
M	3	2	0	yes	5	5	5	11	9	11	D
M	3	4	0	yes	4	5	5	8	13	14	C
M	1	1	0	yes	3	3	5	11	12	13	D
F	1	3	0	no	3	3	5	2	11	11	D
F	2	2	0	yes	2	4	1	8	9	10	D
F	2	1	0	no	3	3	1	5	9	11	D
F	2	2	0	no	1	3	5	0	11	9	D
F	2	3	0	no	3	5	5	1	10	11	D
M	3	1	3	yes	3	3	5	2	9	9	F
M	2	1	0	yes	1	2	5	2	12	11	D
M	1	2	1	yes	4	4	5	8	8	9	F
F	1	2	0	no	2	5	5	0	13	15	B
M	1	1	0	no	1	2	2	0	10	11	D
F	1	2	0	yes	5	5	3	2	11	10	D
F	2	2	0	no	3	3	5	0	17	18	A
M	2	2	0	no	1	2	5	0	12	13	C
M	2	2	0	no	1	2	1	0	13	14	C
M	1	2	2	yes	4	3	4	2	9	9	D
M	1	1	0	no	1	2	5	4	11	11	D
F	2	1	0	yes	5	5	4	3	10	11	D
F	1	3	0	no	3	4	3	5	13	14	C
M	1	1	0	no	4	4	5	4	9	10	D
F	2	2	3	yes	4	4	5	2	7	9	D
M	2	1	0	yes	5	5	5	0	8	13	D
M	3	1	1	no	3	2	4	0	12	12	C
M	2	1	0	yes	5	5	2	0	10	9	D
M	2	2	0	yes	3	3	5	6	10	9	D
F	1	2	0	yes	4	3	1	0	11	13	D
M	1	1	1	yes	2	1	5	0	7	0	F
M	2	1	0	no	5	5	5	2	11	9	D
M	2	1	0	yes	5	5	5	0	10	10	F
M	2	1	1	no	3	3	5	2	9	7	F
M	1	1	1	no	3	1	5	0	4	0	F
M	2	1	3	yes	2	1	3	4	6	11	F
M	1	2	2	yes	4	5	3	9	4	8	F
M	2	1	0	yes	4	3	4	6	7	8	F
M	2	1	3	yes	4	3	5	4	8	9	F
F	2	2	2	yes	5	5	1	8	5	5	F
F	1	1	0	yes	3	2	5	9	7	9	D
M	2	1	1	no	4	3	4	12	8	11	D
F	1	1	0	no	4	4	2	8	10	11	D
M	2	1	0	no	5	5	5	8	9	10	D
M	3	2	1	no	4	4	2	8	10	9	D
M	2	2	1	no	5	4	3	4	8	9	D
M	1	1	0	no	3	3	3	0	9	10	F
M	3	1	1	no	4	4	5	4	8	9	D
F	2	2	2	no	3	3	5	2	6	8	F
F	1	1	0	no	4	4	5	0	6	8	F
F	2	1	1	no	5	5	3	0	8	6	F
F	2	1	0	no	4	3	5	0	10	11	D
F	2	3	0	no	2	3	3	5	8	7	F
F	1	2	0	yes	5	5	5	0	8	8	F
F	1	2	1	yes	3	3	4	3	7	6	F
F	1	1	0	no	2	2	5	0	8	10	F
F	1	1	0	no	5	1	3	0	7	10	D
F	3	2	2	yes	4	4	5	3	7	8	F
F	2	2	0	yes	3	5	1	2	12	13	C
F	2	1	0	no	4	3	4	0	11	12	C
F	2	2	0	no	4	3	4	0	12	13	C
F	2	2	0	yes	3	5	1	0	18	18	A
M	1	1	0	yes	4	5	5	3	17	17	A
F	2	2	0	no	3	3	4	0	17	18	A
F	3	2	1	yes	3	3	4	0	9	0	F
M	2	1	0	no	1	4	1	8	10	11	D
M	3	1	0	yes	5	5	1	5	12	13	C
M	3	1	0	no	2	3	4	4	12	13	C
F	2	2	0	no	3	1	2	4	8	8	D
F	2	3	0	no	4	5	3	0	11	12	C
F	1	2	0	yes	3	1	5	0	5	0	F
F	3	2	1	no	4	2	2	2	9	10	D
F	2	1	1	no	5	5	2	0	5	0	F
F	2	4	0	no	2	3	5	0	18	18	A
F	2	2	0	yes	3	3	2	5	11	11	D
F	1	2	0	no	2	3	3	2	8	10	D
F	2	2	0	no	1	1	4	0	11	11	D
F	2	2	3	yes	5	4	1	0	8	0	F
F	2	3	0	no	2	1	4	5	14	14	B
M	2	2	1	yes	5	5	2	4	10	11	D
F	1	2	0	no	3	4	5	0	10	10	D
F	2	2	0	yes	3	3	5	2	12	12	D
F	2	2	0	no	2	3	5	0	15	14	B
M	2	1	0	no	3	2	3	2	14	13	C
F	2	3	0	no	3	2	4	0	19	17	A
F	3	2	0	no	3	4	5	0	16	15	B
F	2	2	0	no	3	2	3	6	13	12	C
F	1	2	0	yes	3	4	1	4	15	14	B
F	2	2	0	no	2	2	3	0	13	13	C
M	2	2	0	no	3	4	3	0	8	10	F
M	2	3	0	no	2	2	5	0	15	16	B
F	3	1	1	no	2	1	1	0	8	8	F
F	2	1	0	no	2	3	4	0	10	10	D
F	3	2	0	no	2	2	5	0	7	5	F
M	3	1	0	yes	3	3	3	3	9	10	D
F	1	3	0	yes	4	3	3	8	10	11	D
F	1	1	0	yes	5	5	1	4	7	8	F
F	2	3	0	no	4	4	1	0	15	17	A
F	4	3	0	no	3	2	4	4	10	11	D
F	2	2	1	no	3	3	3	4	7	8	F
F	1	2	0	yes	4	3	2	1	13	14	C
F	1	2	0	no	1	3	1	1	16	16	B
F	1	2	0	yes	5	4	1	10	8	9	F
M	1	2	0	yes	2	4	2	4	17	18	A
M	2	1	0	yes	4	3	5	0	7	7	F
M	2	2	0	yes	4	3	3	4	14	15	B
M	2	1	1	no	3	2	5	0	5	8	F
M	2	1	1	no	4	3	3	0	7	7	F
F	2	3	0	no	3	3	4	0	14	17	B
F	2	2	0	no	5	4	1	0	6	9	D
F	3	1	0	yes	4	3	5	4	7	9	D
F	1	3	1	yes	4	2	5	4	10	11	D
F	1	2	0	no	3	4	1	4	15	15	B
F	2	2	0	yes	1	1	5	6	11	12	F
M	2	1	0	no	4	5	2	6	10	10	D
M	3	1	0	no	4	1	5	4	10	11	D
